from_year,to_year,members,pearson,spearman,high_cost_persistence,random_baseline,persistence_lift
2008,2009,114618,0.3936,0.7807,34.0,10.01,3.4
2009,2010,112845,0.2635,0.6714,23.11,10.01,2.31
